fiberlookup_initial,fiberlookup_latency,fiberlookup_stop_latency,fiberlookup_miss_latency,fiberlookup_starting,incr_type,fiberlookup_ii,fiberlookup_numerator_factor,fiberlookup_denominator_factor,diff1,diff2,diff3,diff4,diff5,diff6,diff7,diff8,diff9,diff10,timestamp
49,0,19,99,99,1,1,49,99,134.0,328.0,327.0,261.0,526.0,823.0,269.0,280.0,564.0,376.0,95
9,0,71,99,46,1,9,147,14,179.0,3856.0,3847.0,1124.0,1911.0,6809.0,1122.0,277.0,1705.0,5446.0,145
44,0,15,87,100,1,1,49,83,131.0,333.0,332.0,243.0,493.0,762.0,262.0,260.0,525.0,375.0,181
44,0,15,87,100,1,4,20,51,148.0,892.0,888.0,324.0,685.0,2760.0,280.0,274.0,711.0,1532.0,224
4,43,47,89,143,1,9,102,34,245.0,2423.0,2414.0,611.0,1195.0,5983.0,566.0,286.0,1119.0,4015.0,287
46,0,15,95,100,1,1,49,73,135.0,359.0,358.0,263.0,525.0,804.0,278.0,274.0,557.0,403.0,322
32,0,15,87,91,2,1,49,98,109.0,292.0,291.0,190.0,426.0,599.0,232.0,226.0,447.0,323.0,358
32,4,15,87,83,2,3,49,98,116.0,684.0,681.0,246.0,560.0,1937.0,248.0,228.0,575.0,1113.0,395
27,0,15,87,96,2,1,46,98,109.0,286.0,285.0,178.0,409.0,541.0,230.0,221.0,425.0,312.0,436
32,0,1,84,91,2,1,38,90,109.0,274.0,273.0,182.0,412.0,588.0,222.0,223.0,434.0,305.0,474
37,0,15,87,91,2,1,49,98,114.0,297.0,296.0,205.0,446.0,659.0,237.0,236.0,472.0,333.0,509
32,0,15,87,91,2,1,44,89,109.0,291.0,290.0,190.0,426.0,599.0,232.0,226.0,447.0,322.0,547
32,2,15,88,112,2,1,79,98,134.0,377.0,376.0,237.0,481.0,656.0,280.0,251.0,496.0,407.0,583
32,26,15,87,91,2,1,49,98,134.0,292.0,291.0,190.0,426.0,599.0,232.0,226.0,447.0,323.0,617
23,12,70,92,116,0,6,114,73,176.0,1529.0,1523.0,437.0,889.0,4006.0,403.0,273.0,867.0,2544.0,651
16,6,13,49,12,0,4,196,87,53.0,1114.0,1110.0,259.0,601.0,2507.0,284.0,108.0,565.0,1724.0,682
49,12,89,45,171,2,3,24,37,230.0,778.0,775.0,356.0,648.0,2257.0,324.0,309.0,677.0,1224.0,722
49,34,36,89,68,0,2,110,13,214.0,2097.0,2095.0,874.0,1367.0,2355.0,917.0,316.0,1258.0,2335.0,759
18,37,16,76,37,0,2,0,77,78.0,312.0,310.0,76.0,313.0,982.0,122.0,133.0,326.0,528.0,792
20,26,29,46,96,0,10,123,71,193.0,2301.0,2310.0,503.0,1068.0,6642.0,398.0,230.0,1035.0,4102.0,826
17,44,63,89,10,2,9,17,55,102.0,1760.0,1751.0,308.0,838.0,5709.0,219.0,155.0,824.0,3368.0,859
15,6,13,49,12,0,3,196,87,46.0,913.0,910.0,224.0,526.0,1822.0,271.0,101.0,492.0,1323.0,892
15,6,18,55,12,0,3,183,97,43.0,845.0,842.0,202.0,501.0,1787.0,247.0,104.0,474.0,1255.0,928
15,6,20,55,12,0,3,183,97,43.0,845.0,842.0,202.0,501.0,1787.0,247.0,104.0,474.0,1255.0,972
15,6,18,57,18,0,3,147,97,46.0,779.0,776.0,181.0,472.0,1753.0,223.0,109.0,452.0,1189.0,1018
16,6,20,55,12,0,3,183,97,44.0,846.0,843.0,205.0,505.0,1799.0,248.0,106.0,479.0,1257.0,1057
15,8,42,55,27,0,3,183,97,60.0,860.0,857.0,217.0,516.0,1802.0,262.0,119.0,489.0,1270.0,1098
15,6,18,55,34,0,4,183,99,71.0,1059.0,1055.0,252.0,589.0,2478.0,277.0,131.0,560.0,1668.0,1139
15,6,18,49,12,0,3,183,97,43.0,839.0,836.0,196.0,489.0,1781.0,241.0,98.0,462.0,1249.0,1173
15,2,18,55,1,0,3,183,97,28.0,834.0,831.0,191.0,490.0,1776.0,236.0,93.0,463.0,1244.0,1209
14,1,18,51,18,0,3,187,97,43.0,854.0,851.0,203.0,499.0,1782.0,251.0,104.0,470.0,1263.0,1243
15,2,18,69,30,0,3,156,97,54.0,821.0,818.0,211.0,518.0,1787.0,255.0,133.0,496.0,1232.0,1277
18,2,18,55,5,0,3,167,93,34.0,823.0,820.0,196.0,496.0,1806.0,235.0,102.0,474.0,1236.0,1312
21,5,5,71,1,0,3,183,95,37.0,864.0,861.0,227.0,549.0,1868.0,261.0,121.0,528.0,1280.0,1349
14,2,18,55,1,0,3,187,100,27.0,829.0,826.0,185.0,484.0,1762.0,233.0,91.0,456.0,1239.0,1393
14,2,18,55,1,0,3,187,100,27.0,829.0,826.0,185.0,484.0,1762.0,233.0,91.0,456.0,1239.0,1438
14,2,18,55,1,0,3,187,100,27.0,829.0,826.0,185.0,484.0,1762.0,233.0,91.0,456.0,1239.0,1478
14,0,18,55,33,0,3,187,86,61.0,923.0,920.0,242.0,547.0,1829.0,291.0,126.0,514.0,1332.0,1514
14,5,18,58,1,0,2,187,100,24.0,632.0,630.0,156.0,419.0,1092.0,224.0,89.0,394.0,843.0,1552
8,5,18,49,1,0,2,189,100,18.0,621.0,619.0,132.0,379.0,1013.0,211.0,68.0,348.0,826.0,1589
8,5,13,49,1,0,2,189,100,18.0,621.0,619.0,132.0,379.0,1013.0,211.0,68.0,348.0,826.0,1639
6,5,18,49,1,0,1,189,77,15.0,533.0,532.0,137.0,358.0,380.0,245.0,64.0,318.0,536.0,1685
6,5,22,49,1,0,2,189,71,22.0,776.0,774.0,186.0,450.0,1076.0,274.0,70.0,403.0,977.0,1728
6,5,18,59,4,0,1,189,77,18.0,546.0,545.0,150.0,381.0,393.0,258.0,77.0,341.0,549.0,1770
1,5,18,70,1,0,1,189,77,10.0,549.0,548.0,143.0,380.0,341.0,261.0,75.0,335.0,547.0,1816
1,0,15,59,46,0,1,172,77,49.0,539.0,538.0,160.0,380.0,350.0,276.0,107.0,339.0,537.0,1859
1,5,12,70,1,0,1,154,77,5.0,457.0,456.0,107.0,332.0,289.0,221.0,70.0,295.0,455.0,1897
1,8,13,58,1,0,2,142,77,14.0,614.0,612.0,116.0,364.0,933.0,208.0,63.0,326.0,811.0,1935
9,5,12,70,2,0,1,154,63,19.0,556.0,555.0,168.0,412.0,437.0,269.0,92.0,375.0,562.0,1982
1,5,12,70,1,0,1,154,81,5.0,438.0,437.0,101.0,323.0,279.0,214.0,70.0,288.0,436.0,2027
10,5,9,70,1,0,1,157,77,16.0,475.0,474.0,138.0,373.0,403.0,235.0,90.0,345.0,482.0,2063
1,5,12,70,1,0,1,152,79,5.0,442.0,441.0,102.0,325.0,281.0,216.0,70.0,290.0,440.0,2102
1,3,12,70,1,0,1,154,86,2.0,416.0,415.0,92.0,311.0,266.0,204.0,69.0,278.0,414.0,2149
1,3,12,70,1,0,1,106,86,3.0,303.0,302.0,48.0,254.0,203.0,157.0,64.0,231.0,302.0,2196
1,4,12,70,25,0,1,150,87,27.0,426.0,425.0,110.0,329.0,283.0,223.0,93.0,297.0,425.0,2236
1,3,12,70,1,0,1,162,86,3.0,434.0,433.0,99.0,321.0,277.0,212.0,70.0,286.0,432.0,2279
1,2,7,70,1,0,1,154,86,1.0,416.0,415.0,92.0,311.0,266.0,204.0,69.0,278.0,414.0,2321
1,2,0,70,6,0,1,178,86,9.0,477.0,476.0,118.0,345.0,303.0,233.0,77.0,307.0,475.0,2360
1,10,7,71,38,0,2,154,86,52.0,654.0,652.0,162.0,421.0,977.0,254.0,112.0,385.0,851.0,2398
1,5,17,70,40,0,1,154,86,43.0,455.0,454.0,131.0,350.0,305.0,243.0,108.0,317.0,453.0,2439
8,7,8,70,1,0,1,150,86,13.0,413.0,412.0,109.0,335.0,345.0,208.0,83.0,310.0,419.0,2475
1,2,7,71,1,0,2,154,73,10.0,681.0,679.0,149.0,417.0,977.0,244.0,78.0,375.0,878.0,2513
5,0,4,70,45,0,1,154,86,48.0,464.0,463.0,148.0,371.0,358.0,252.0,121.0,342.0,466.0,2559
4,6,6,70,1,0,1,154,85,8.0,423.0,422.0,102.0,325.0,305.0,209.0,75.0,295.0,424.0,2600
1,11,7,60,23,0,1,154,86,32.0,428.0,427.0,104.0,313.0,278.0,216.0,81.0,280.0,426.0,2641
5,2,8,70,1,0,1,154,79,6.0,451.0,450.0,116.0,344.0,332.0,222.0,78.0,312.0,453.0,2680
1,2,7,70,6,0,1,154,86,6.0,421.0,420.0,97.0,316.0,271.0,209.0,74.0,283.0,419.0,2718
1,2,7,85,54,0,1,181,84,57.0,557.0,556.0,188.0,432.0,376.0,304.0,140.0,393.0,555.0,2753
