fiberlookup_initial,fiberlookup_latency,fiberlookup_stop_latency,fiberlookup_miss_latency,fiberlookup_starting,incr_type,fiberlookup_ii,fiberlookup_numerator_factor,fiberlookup_denominator_factor,diff1,timestamp
99,0,19,99,99,1,1,49,99,548.7999877929688,103
386,192,393,296,36,1,65,106,34,12674.599609375,151
99,295,19,99,99,1,1,49,99,754.7999877929688,187
123,333,21,38,375,1,5,34,82,1801.699951171875,242
99,0,70,99,99,1,1,49,99,548.7999877929688,275
99,0,19,136,99,1,1,49,99,589.5,309
233,131,264,13,176,1,27,178,9,7585.7001953125,342
371,359,213,147,38,0,55,10,32,10755.0,375
33,6,12,99,99,1,3,49,99,671.0999755859375,418
99,0,14,99,99,2,1,49,80,561.7999877929688,453
60,257,157,262,319,1,93,19,60,16391.900390625,487
99,0,253,99,99,1,1,49,99,564.2999877929688,520
86,67,210,26,49,0,71,17,3,12834.099609375,552
369,54,78,208,47,0,63,113,33,12168.599609375,584
99,0,63,99,99,1,1,49,99,548.7999877929688,617
146,32,19,146,99,1,1,37,99,741.2999877929688,651
271,110,106,181,247,0,90,28,77,16329.5,686
172,168,115,390,6,0,14,121,92,3280.199951171875,719
212,273,179,183,276,2,11,108,21,3485.699951171875,752
99,0,19,99,99,1,1,49,81,561.2000122070312,786
106,11,19,70,46,1,1,16,99,451.6000061035156,818
74,11,19,70,81,1,1,16,99,384.20001220703125,850
74,11,19,70,83,2,1,36,94,410.1000061035156,890
74,43,19,70,73,1,9,16,93,1715.5,923
102,7,19,70,75,2,1,16,99,467.3999938964844,969
74,11,26,70,141,1,1,16,91,445.79998779296875,1002
71,11,9,70,81,1,10,16,99,1873.0999755859375,1036
74,2,19,70,44,1,2,16,99,512.7999877929688,1075
61,61,19,70,81,1,8,16,99,1524.0999755859375,1112
74,11,19,70,33,2,16,25,99,2846.699951171875,1156
74,11,19,70,83,1,1,16,99,386.20001220703125,1192
74,7,19,51,81,1,1,5,96,351.20001220703125,1228
74,9,37,7,81,1,1,5,81,308.70001220703125,1271
74,9,37,7,39,1,7,8,81,1285.0,1308
74,9,37,7,39,1,18,5,81,3141.39990234375,1344
74,9,37,7,81,1,8,9,81,1497.5999755859375,1385
74,56,15,7,81,1,1,5,92,352.1000061035156,1426
16,9,37,7,81,1,10,5,81,1645.0,1461
74,9,68,6,81,1,1,5,80,311.6000061035156,1500
67,9,37,7,81,1,1,9,81,291.5,1540
