fiberlookup_initial,fiberlookup_latency,fiberlookup_stop_latency,fiberlookup_miss_latency,fiberlookup_starting,incr_type,fiberlookup_ii,fiberlookup_numerator_factor,fiberlookup_denominator_factor,diff1,timestamp
9,9,19,19,9,1,19,99,99,3185.10009765625,192
807,143,803,290,605,0,25,133,43,7895.0,241
9,9,1000,19,9,1,19,99,99,3282.39990234375,273
85,13,53,140,16,2,10,58,84,1998.0,327
94,13,53,103,16,2,11,58,77,2159.300048828125,364
672,296,842,892,735,2,91,23,69,18929.099609375,396
339,353,755,489,976,0,30,42,33,7621.0,429
631,666,391,848,680,2,3,193,2,14501.5,461
814,244,56,467,190,1,60,8,78,13163.099609375,493
85,13,97,43,19,2,5,82,73,1115.5999755859375,525
13,13,97,43,19,2,5,82,73,885.2000122070312,559
37,55,97,43,32,2,5,82,80,987.4000244140625,592
13,13,73,105,19,2,5,92,73,961.2999877929688,626
13,13,34,43,89,2,12,82,74,2119.199951171875,658
81,167,97,43,19,2,5,82,73,1233.699951171875,692
13,66,15,60,22,2,5,108,62,989.0,724
13,13,30,43,19,2,5,82,73,878.5,757
13,27,30,43,19,2,5,82,73,880.5,790
106,179,103,43,129,2,5,106,73,1471.5999755859375,823
13,13,30,43,19,1,5,70,73,860.4000244140625,855
63,13,30,43,13,1,5,70,63,1031.4000244140625,887
48,13,30,43,19,2,5,70,73,972.4000244140625,919
13,13,30,43,173,1,5,70,73,1014.4000244140625,951
158,205,85,246,19,1,9,91,69,2271.800048828125,983
13,13,30,43,19,1,3,70,73,527.0,1017
13,13,200,43,19,1,3,58,73,526.0,1051
4,13,142,43,19,1,3,45,73,472.29998779296875,1085
128,13,142,43,44,1,3,42,73,889.7999877929688,1117
4,13,70,43,19,1,3,49,79,465.5,1149
20,98,101,43,19,1,3,49,84,572.7999877929688,1183
4,59,70,165,19,1,3,27,84,568.0,1216
4,122,70,88,19,1,9,49,77,1575.300048828125,1249
4,13,70,43,19,2,3,44,81,457.20001220703125,1281
4,13,70,145,46,2,3,70,81,627.5,1314
4,13,4,43,19,2,4,25,81,594.2999877929688,1346
4,13,36,43,19,2,9,29,81,1436.0999755859375,1382
96,13,262,101,13,2,3,69,81,856.0,1422
4,198,225,43,48,2,3,60,81,670.2000122070312,1456
145,13,70,43,19,2,7,67,81,1606.5,1487
4,13,151,43,81,1,3,20,81,494.8999938964844,1520
27,77,70,43,19,2,3,41,74,570.7999877929688,1556
4,13,70,43,81,2,20,44,81,3374.39990234375,1591
4,13,70,43,19,2,8,54,72,1314.5999755859375,1624
4,13,70,43,19,2,3,44,91,450.29998779296875,1656
84,13,70,43,50,1,3,60,91,756.5,1691
14,13,231,47,19,2,3,44,91,502.3999938964844,1724
4,13,70,37,96,2,13,44,91,2197.60009765625,1757
4,13,70,43,19,2,6,44,78,959.9000244140625,1788
39,13,137,205,19,2,11,44,91,2068.89990234375,1821
4,13,235,43,5,2,3,44,88,454.20001220703125,1855
4,13,70,19,58,2,9,44,89,1480.699951171875,1888
4,13,70,43,19,2,3,39,87,446.70001220703125,1922
4,121,70,181,19,2,3,24,87,586.7999877929688,1954
4,105,50,43,94,2,3,39,86,589.2000122070312,1988
4,13,186,210,19,1,3,49,87,639.2000122070312,2021
49,13,160,43,19,2,3,39,87,599.7000122070312,2055
127,13,45,133,184,2,3,62,76,1140.5999755859375,2088
4,13,160,143,19,2,3,39,87,555.7000122070312,2119
4,13,70,138,19,2,3,39,93,544.2999877929688,2152
72,48,70,79,19,2,3,39,87,703.7999877929688,2184
96,165,70,4,19,2,3,39,85,861.4000244140625,2217
646,190,347,630,302,2,76,169,4,20143.69921875,2250
4,13,70,43,19,2,3,140,87,572.9000244140625,2283
4,13,89,43,19,2,2,39,87,281.70001220703125,2316
20,93,89,43,68,2,2,39,87,432.70001220703125,2350
4,13,106,148,100,2,2,39,87,473.1000061035156,2383
4,11,89,10,19,2,18,39,97,2952.300048828125,2417
4,13,89,43,19,2,3,39,92,445.79998779296875,2451
4,19,89,43,126,2,2,24,87,370.3999938964844,2484
4,13,89,43,45,2,2,39,82,310.70001220703125,2518
4,0,89,43,19,2,9,39,87,1448.800048828125,2551
138,13,89,43,19,2,2,39,87,710.5,2584
4,13,112,216,19,2,2,39,85,468.0,2618
4,141,109,151,19,2,17,39,79,2944.800048828125,2651
102,13,89,43,19,2,18,39,87,3279.199951171875,2684
117,657,332,311,151,1,31,110,6,8294.2001953125,2716
4,13,90,39,19,2,2,39,87,277.79998779296875,2749
111,13,90,83,78,2,2,39,87,723.2000122070312,2782
4,13,7,39,19,2,12,39,91,1943.0,2815
4,139,113,39,130,2,2,39,87,488.70001220703125,2848
180,181,17,39,19,1,2,55,91,1000.0,2882
4,13,90,39,59,2,2,39,82,320.79998779296875,2915
300,13,90,33,106,2,2,39,87,1306.0,2949
151,13,90,39,19,1,2,39,87,748.2000122070312,2982
4,13,164,39,19,2,4,39,87,619.0,3015
8,18,61,262,19,2,2,39,87,530.7999877929688,3052
4,23,90,39,19,2,2,39,91,276.5,3086
4,23,90,39,76,2,2,39,91,333.5,3121
4,23,90,39,19,2,2,55,91,295.8999938964844,3154
42,23,164,39,24,2,2,39,84,414.5,3185
4,101,64,39,19,2,2,39,87,339.70001220703125,3220
4,48,90,53,188,2,27,39,100,4683.7001953125,3254
4,23,90,39,2,2,2,39,87,261.79998779296875,3287
4,23,90,39,2,2,2,39,87,261.79998779296875,3320
4,32,90,4,2,2,2,39,87,252.39999389648438,3353
111,101,90,4,2,2,2,39,87,658.0999755859375,3394
4,32,90,4,31,2,12,39,77,1979.0,3429
4,129,90,4,51,2,11,65,87,1948.199951171875,3463
4,32,90,4,2,2,2,39,70,264.20001220703125,3497
4,32,25,31,2,2,2,36,84,249.8000030517578,3532
61,32,45,31,2,2,2,36,84,433.3999938964844,3575
4,32,25,31,2,2,2,32,97,238.89999389648438,3610
135,87,25,31,2,2,2,32,97,713.0999755859375,3646
16,95,25,31,2,2,3,32,97,509.5,3681
29,32,25,44,2,2,4,32,91,666.0,3713
4,32,74,31,196,2,9,28,97,1616.5,3745
4,159,100,31,96,2,2,32,97,459.8999938964844,3781
60,32,25,31,2,2,13,32,98,2279.0,3823
4,32,25,133,2,2,2,26,97,340.6000061035156,3857
