fiberlookup_initial,fiberlookup_latency,fiberlookup_stop_latency,fiberlookup_miss_latency,fiberlookup_starting,incr_type,fiberlookup_ii,fiberlookup_numerator_factor,fiberlookup_denominator_factor,diff1,timestamp
99,99,99,99,99,1,1,49,99,558.7999877929688,213
170,463,661,849,363,0,23,141,90,5691.10009765625,276
294,661,863,274,178,2,51,71,96,10361.0,333
99,99,99,99,99,1,1,49,33,666.4000244140625,374
158,213,99,99,6,2,9,49,99,2122.199951171875,415
539,679,153,426,903,0,70,191,54,15422.099609375,444
99,99,6,177,99,1,20,49,99,3811.5,480
99,99,99,99,99,1,1,49,99,558.7999877929688,516
258,229,195,518,740,2,57,182,52,11832.7001953125,551
409,904,42,326,459,0,98,56,6,20134.30078125,586
348,99,99,99,99,1,1,49,83,1366.5999755859375,620
839,128,943,55,26,1,55,90,29,12370.900390625,654
99,195,143,99,99,1,1,49,99,654.7999877929688,688
99,69,99,179,111,1,1,49,99,655.5999755859375,718
99,961,99,99,99,2,1,161,99,1544.0999755859375,752
666,43,332,649,920,2,15,65,9,6856.10009765625,790
281,762,895,688,468,1,14,66,71,4550.0,830
99,99,99,99,99,1,9,49,99,1912.4000244140625,869
509,675,738,499,595,2,90,44,16,18327.099609375,903
99,949,99,99,99,2,1,49,99,1408.800048828125,936
528,193,951,78,218,2,92,11,44,17577.69921875,975
99,99,169,99,99,1,1,37,99,553.0999755859375,1015
99,260,302,22,99,1,1,49,99,708.5999755859375,1049
128,99,132,99,278,1,1,45,87,836.9000244140625,1089
53,99,165,128,99,1,11,30,100,2097.5,1128
99,99,164,209,99,1,1,37,93,669.5,1170
99,99,170,99,99,1,1,0,99,511.5,1207
111,99,170,99,297,1,1,24,99,775.0,1243
149,99,27,126,196,1,1,34,98,830.0,1278
99,242,170,99,99,1,1,25,96,676.5999755859375,1319
99,99,170,103,99,1,7,0,99,1526.9000244140625,1355
99,99,170,89,203,2,1,21,93,638.9000244140625,1390
99,99,433,99,11,1,6,0,99,1295.300048828125,1426
83,99,90,99,99,1,1,23,98,479.5,1460
232,99,90,61,99,1,20,31,98,4172.39990234375,1493
59,131,90,99,99,2,5,23,98,1111.5,1528
49,99,90,99,99,2,1,23,85,374.6000061035156,1558
102,72,8,248,99,2,5,23,85,1371.199951171875,1591
49,99,90,99,130,1,1,60,85,453.29998779296875,1625
49,107,90,252,99,2,7,18,85,1536.4000244140625,1660
49,92,142,99,99,2,1,14,85,366.70001220703125,1692
4,1,142,154,157,2,1,6,85,317.79998779296875,1726
4,27,72,154,157,2,1,6,97,319.3999938964844,1758
4,1,193,154,157,1,12,11,85,2163.89990234375,1791
4,63,142,18,157,1,1,3,85,219.39999389648438,1823
4,25,209,87,51,2,3,3,85,483.0,1855
4,63,12,18,139,1,10,3,85,1716.300048828125,1888
102,63,142,18,157,1,1,3,85,533.0,1920
4,63,311,51,159,1,1,3,90,244.60000610351562,1953
129,63,142,18,131,1,1,1,70,591.0999755859375,1986
64,40,142,135,157,1,9,17,85,1842.5,2019
4,146,142,18,157,1,1,15,85,309.6000061035156,2051
4,36,142,158,63,2,1,3,85,228.10000610351562,2084
4,24,91,18,157,1,1,3,79,179.3000030517578,2117
4,82,91,18,157,1,1,10,99,238.1999969482422,2150
4,24,163,18,157,1,4,3,61,694.9000244140625,2184
4,24,67,18,157,1,1,3,79,176.89999389648438,2217
19,24,67,18,205,1,1,7,79,278.1000061035156,2250
4,24,6,18,157,1,1,1,80,170.0,2284
4,24,53,18,55,1,2,4,80,243.6999969482422,2318
107,6,6,18,157,1,1,1,80,492.20001220703125,2350
4,24,6,18,157,1,4,1,80,677.5999755859375,2383
4,24,6,18,157,2,1,1,80,170.0,2415
98,24,6,18,218,1,6,1,80,1377.800048828125,2448
133,24,53,131,224,1,1,18,80,790.9000244140625,2480
4,24,57,32,157,2,1,1,87,182.39999389648438,2514
211,24,6,18,157,1,1,1,68,832.7000122070312,2547
4,24,171,18,141,1,1,1,87,168.6999969482422,2578
4,24,87,18,141,2,1,1,87,160.3000030517578,2613
4,132,87,18,100,2,1,1,91,221.0,2648
55,24,87,18,193,2,1,42,88,425.3999938964844,2681
4,36,87,18,350,1,1,15,87,397.29998779296875,2715
4,72,125,18,141,2,13,1,74,2236.699951171875,2748
4,24,87,18,114,2,15,1,87,2500.699951171875,2781
4,161,87,118,255,2,3,1,87,763.4000244140625,2815
1,24,87,18,141,1,1,3,94,152.89999389648438,2848
154,24,124,18,29,1,1,3,91,534.2000122070312,2882
1,60,7,18,141,1,1,37,94,221.3000030517578,2916
58,24,120,18,141,1,15,4,76,2708.10009765625,2950
1,24,87,67,58,1,1,21,83,137.3000030517578,2984
1,67,87,237,58,1,1,21,83,326.5,3025
1,24,46,67,105,1,1,42,77,214.3000030517578,3059
1,72,87,48,58,1,1,21,83,142.39999389648438,3092
1,90,87,110,58,1,6,2,84,998.4000244140625,3127
1,38,87,67,58,1,1,21,75,141.5,3162
301,24,87,67,58,1,15,21,77,3438.89990234375,3204
24,65,87,67,58,2,1,21,76,217.5,3238
1,57,90,67,58,0,1,21,73,144.89999389648438,3269
1,24,87,67,48,1,12,21,76,1967.0,3303
39,24,87,67,210,1,1,21,83,410.8999938964844,3338
103,24,87,67,58,1,14,21,87,2634.5,3369
22,24,87,67,76,1,11,32,83,1907.0999755859375,3403
1,24,87,67,58,1,1,39,94,154.89999389648438,3439
1,24,87,55,58,2,6,21,83,959.7999877929688,3479
1,24,87,67,58,1,1,21,83,137.3000030517578,3518
192,84,87,67,58,1,1,36,83,788.0,3553
1,24,27,122,58,1,3,12,87,516.2999877929688,3589
1,24,84,67,160,1,5,25,83,912.0,3634
1,24,87,36,181,2,7,26,83,1241.0,3668
6,24,87,67,58,1,1,21,86,152.39999389648438,3703
1,24,87,67,58,1,1,24,86,139.89999389648438,3742
1,24,87,67,58,1,1,21,83,137.3000030517578,3786
26,24,87,67,58,1,1,21,83,217.3000030517578,3822
112,37,257,117,58,1,1,21,79,562.2000122070312,3858
1,11,87,67,58,1,1,21,83,136.0,3900
1,11,69,67,58,2,3,21,72,472.3999938964844,3935
39,11,87,45,58,2,9,21,83,1571.5,3971
1,11,100,152,58,1,1,21,83,227.39999389648438,4014
2,11,79,29,225,1,1,21,91,265.1000061035156,4050
36,11,182,67,58,1,13,2,83,2236.39990234375,4089
1,108,87,67,58,1,1,21,58,192.89999389648438,4128
1,11,87,67,44,1,9,21,83,1457.199951171875,4163
75,11,87,70,58,1,1,21,74,379.1000061035156,4205
44,11,87,67,58,1,1,21,83,273.6000061035156,4240
1,59,87,8,58,1,3,21,83,460.8999938964844,4275
1,39,87,67,58,1,1,21,99,134.60000610351562,4309
1,39,218,67,52,1,1,21,99,141.6999969482422,4345
1,39,87,67,58,1,1,7,99,119.4000015258789,4380
1,39,83,67,58,1,10,7,99,1622.9000244140625,4422
25,39,137,74,58,1,1,7,93,208.6999969482422,4467
1,39,87,248,0,1,1,5,99,256.29998779296875,4500
41,39,10,67,58,1,1,49,82,302.29998779296875,4536
1,65,36,67,58,1,11,7,99,1810.300048828125,4571
96,112,87,77,58,1,1,7,99,471.29998779296875,4607
1,103,85,67,58,1,10,7,99,1679.0999755859375,4642
171,39,87,89,100,2,5,7,99,1395.0,4677
1,39,167,67,58,1,3,7,99,461.20001220703125,4717
