fiberlookup_initial,fiberlookup_latency,fiberlookup_stop_latency,fiberlookup_starting,bump,stop_bump,done_bump,empty_bump,fiberlookup_ii,fiberlookup_factor,diff1,diff2,diff3,diff4,diff5,diff6,diff7,diff8,timestamp
0,1,0,0,1,1,1,1,1,0.25,73,191,85,101,33,243,167,78,14
334,9,208,19,302,141,159,373,4,0.6861852407455444,875,936,1648,1291,1160,457,1360,2732,27
328,212,200,78,2,39,177,396,1,0.5900217294692993,466,1004,1608,1296,1228,624,1356,1117,40
162,243,247,85,60,263,253,78,3,1.1723566055297852,735,615,1121,949,839,339,845,1850,53
305,282,124,37,58,313,288,300,3,1.2955352067947388,917,1083,1732,1417,1307,664,1456,2318,65
48,396,161,3,391,251,216,238,4,0.7532490491867065,976,465,891,820,689,272,603,2261,77
238,350,56,42,4,172,36,384,3,0.7908211946487427,918,950,1532,1284,1174,598,1256,2185,89
63,380,41,54,124,214,274,119,1,1.1497297286987305,369,377,716,669,601,262,464,490,102
197,302,24,1,26,142,70,285,1,1.4636447429656982,425,701,1174,993,925,452,922,814,116
126,217,177,39,296,367,122,393,2,1.1594297885894775,471,442,878,755,666,233,614,1116,155
276,274,296,2,208,25,159,299,2,0.7551496028900146,678,949,1535,1262,1173,590,1271,1623,169
162,384,55,43,205,252,337,106,3,1.2883679866790771,876,756,1262,1090,980,480,986,1991,184
126,118,198,50,37,270,310,93,2,1.1520332098007202,372,343,779,656,567,134,515,1017,198
183,263,293,36,212,394,301,238,1,0.11423969268798828,372,620,1079,912,844,385,827,733,213
148,63,14,64,273,251,362,399,2,1.2249172925949097,339,354,812,667,578,123,548,1028,230
355,90,314,41,25,144,354,223,2,1.9479444026947021,573,1002,1667,1315,1226,564,1403,1676,244
315,374,277,74,32,350,385,146,2,0.34762418270111084,817,1166,1791,1479,1390,768,1527,1840,261
317,128,65,99,294,207,374,117,3,1.623222827911377,775,965,1626,1299,1189,534,1350,2200,277
308,73,145,37,279,120,277,12,3,0.8253263235092163,711,883,1535,1217,1107,461,1259,2118,322
60,395,251,17,178,285,90,236,3,0.12071502208709717,785,461,865,795,685,287,589,1696,345
26,205,112,45,140,47,170,304,2,0.6089105606079102,359,130,466,443,354,21,202,804,363
